type,address,time,lat,lon
Fatal Crash,4200 North Sam Houston Parkway East,"October 18, 2019 6:45 a",29.940118,-95.2981598
Fatal Crash,2000 West Little York Road,"October 18, 2019 7:10 p",29.8697653,-95.409689
Fatal Shooting,15829 Ridgeroe Lane,"October 17, 2019 2 p",29.5929686431872,-95.4538557260027
Shooting,2902 North Shepherd Drive,"October 17, 2019 8:20 p",29.8135915,-95.4099541
Shooting,8400 Broadway Street,"October 17, 2019 ",29.670221,-95.277147
Fatal Shooting,12600 Brookglade Circle,"October 16, 2019 12:30 a",29.679933,-95.600118
Sexual Assault,6200 Antoine Drive,"October 14, 2019 ",29.9505270895522,-95.3984955671642
Fatal Crash,8600 Bellaire Boulevard,"October 14, 2019 6:45 a",29.8702733,-95.4734499
