Address,Crime Type,Date,Time of Day
704 Greens Road,Shooting,"October 14, 2019",
6200 Antoine Drive,Sexual Assault,"October 14, 2019",
8600 Bellaire Boulevard,Fatal Crash,"October 14, 2019",6:45 a
12600 Brookglade Circle,Fatal Shooting,"October 14, 2019",12:30 a
2500 South Barker Cypress Road,Fatal Crash,"October 14, 2019",3:20 p
5901 Selinksy Road,Shooting,"October 14, 2019",10:30 p
11303 Bissonnet Street,Fatal Shooting,"October 10, 2019",
5900 Glenmont Drive,Shooting,"October 10, 2019",12:40 a
5900 Selinsky Road,Fatal Shooting,"October 9, 2019",12:40 p
